"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","steam_games_2606","vg_sales_16052","0.6474238785494457","1","Battle Worlds: Kronos","Battle Worlds: Kronos","Battle Worlds: Kronos","Battle Worlds: Kronos","1.0","1.0","mac","PC","mac","PC","1.0","1.0","KING Art;THQ Nordic","Nordic Games","KING Art;THQ Nordic","Nordic Games","0.49415204678362573","0.49415204678362573","2013-01-01T00:00","2016-01-01T00:00","2013-01-01T00:00","2016-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_19575","vg_sales_16328","0.003386814264146092",,"Infektor","Inversion","Infektor","Inversion","0.0","0.0","mac","PC","mac","PC","1.0","1.0","Rushing Vise","Namco Bandai Games","Rushing Vise","Namco Bandai Games","0.0","0.0","2017-01-01T00:00","","2017-01-01T00:00","","0.0","0.0"
"WekaMatchingRule","steam_games_347","vg_sales_15106","0.9447585258738367","1","Frontlines™: Fuel of War™","Frontlines: Fuel of War","Frontlines™: Fuel of War™","Frontlines: Fuel of War","1.0","1.0","windows","PC","windows","PC","1.0","1.0","THQ Nordic","THQ","THQ Nordic","THQ","0.8366666666666667","0.8366666666666667","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_38542","vg_sales_13369","0.003386814264146092",,"Matter","Mafia","Matter","Mafia","0.0","0.0","mac","PC","mac","PC","1.0","1.0","Concrete Games","Take-Two Interactive","Concrete Games","Take-Two Interactive","0.0","0.0","2018-01-01T00:00","2002-01-01T00:00","2018-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_30384","vg_sales_8599","0.003386814264146092",,"Crossroad","The Crew","Crossroad","The Crew","0.0","0.0","linux","PC","linux","PC","1.0","1.0","TsunamiGames","Ubisoft","TsunamiGames","Ubisoft","0.0","0.0","2018-01-01T00:00","2014-01-01T00:00","2018-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_26835","vg_sales_9171",,"0","Suicide Adventures","Earth Defense Force 2: Invaders from Planet Space","Suicide Adventures","Earth Defense Force 2: Invaders from Planet Space","0.0","0.0","mac","PSP","mac","PSP","0.0","0.0","Idea Cabin","D3Publisher","Idea Cabin","D3Publisher","0.5242424242424243","0.5242424242424243","2017-01-01T00:00","2011-01-01T00:00","2017-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_31314","vg_sales_3937","0.003386814264146092",,"Dissembler","Dishonored","Dissembler","Dishonored","0.0","0.0","mac","PC","mac","PC","1.0","1.0","Ian MacLarty","Bethesda Softworks","Ian MacLarty","Bethesda Softworks","0.4351851851851852","0.4351851851851852","2018-01-01T00:00","2012-01-01T00:00","2018-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_6617","vg_sales_12466","0.003386814264146092",,"Windward","The Witcher","Windward","The Witcher","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Tasharen Entertainment Inc.","Atari","Tasharen Entertainment Inc.","Atari","0.5660493827160494","0.5660493827160494","2015-01-01T00:00","2007-01-01T00:00","2015-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_3831","vg_sales_13369","0.003386814264146092",,"Magicite","Mafia","Magicite","Mafia","0.0","0.0","linux","PC","linux","PC","1.0","1.0","SmashGames","Take-Two Interactive","SmashGames","Take-Two Interactive","0.43333333333333335","0.43333333333333335","2014-01-01T00:00","2002-01-01T00:00","2014-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_5913","vg_sales_12156",,"0","Cities XXL","Cities XL 2012","Cities XXL","Cities XL 2012","0.5","0.5","windows","PC","windows","PC","1.0","1.0","Focus Home Interactive","Focus Home Interactive","Focus Home Interactive","Focus Home Interactive","1.0","1.0","2015-01-01T00:00","2011-01-01T00:00","2015-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_3425","vg_sales_12970",,"0","OMG Zombies!","Metal Slug Anthology","OMG Zombies!","Metal Slug Anthology","0.0","0.0","windows","PSP","windows","PSP","0.0","0.0","Ghostlight LTD","Ignition Entertainment","Ghostlight LTD","Ignition Entertainment","0.5108225108225107","0.5108225108225107","2014-01-01T00:00","2007-01-01T00:00","2014-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_3960","vg_sales_2338",,"0","Yet Another Zombie Defense","Finding Nemo","Yet Another Zombie Defense","Finding Nemo","0.0","0.0","windows","GC","windows","GC","0.0","0.0","Awesome Games Studio","THQ","Awesome Games Studio","THQ","0.0","0.0","2014-01-01T00:00","2003-01-01T00:00","2014-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_1112","vg_sales_16123","0.6474238785494457",,"Theatre of War","Theatre Of War","Theatre of War","Theatre Of War","1.0","1.0","windows","PC","windows","PC","1.0","1.0","1C Entertainment","Kalypso Media","1C Entertainment","Kalypso Media","0.49903846153846154","0.49903846153846154","2010-01-01T00:00","2007-01-01T00:00","2010-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_34986","vg_sales_2856","0.003386814264146092",,"Cryptochain","Crysis","Cryptochain","Crysis","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Bullid Games","Electronic Arts","Bullid Games","Electronic Arts","0.5833333333333334","0.5833333333333334","2018-01-01T00:00","2007-01-01T00:00","2018-01-01T00:00","2007-01-01T00:00","0.0","0.0"
