"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlatformComparatorAdvanced record1Value","[0] PlatformComparatorAdvanced record2Value","[0] PlatformComparatorAdvanced record1PreprocessedValue","[0] PlatformComparatorAdvanced record2PreprocessedValue","[0] PlatformComparatorAdvanced similarity","[0] PlatformComparatorAdvanced postproccesedSimilarity","[1] TitleComparator record1Value","[1] TitleComparator record2Value","[1] TitleComparator record1PreprocessedValue","[1] TitleComparator record2PreprocessedValue","[1] TitleComparator similarity","[1] TitleComparator postproccesedSimilarity","[2] DeveloperComparator record1Value","[2] DeveloperComparator record2Value","[2] DeveloperComparator record1PreprocessedValue","[2] DeveloperComparator record2PreprocessedValue","[2] DeveloperComparator similarity","[2] DeveloperComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","steam_games_10554","wikidata_3628","0.01060130058076173",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","INK","Insaniquarium","INK","Insaniquarium","0.0","0.0","ZackBellGames",,"ZackBellGames",,"0.0","0.0","2015-01-01T00:00","2004-01-01T00:00","2015-01-01T00:00","2004-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_30002","wikidata_30031",,"0","windows","Xbox One","windows","Xbox One","0.0","0.0","Off The Record: Liberty Stone Collector's Edition","Tennis in the Face","Off The Record: Liberty Stone Collector's Edition","Tennis in the Face","0.09090909090909091","0.09090909090909091","Eipix Entertainment",,"Eipix Entertainment",,"0.0","0.0","2018-01-01T00:00","2013-01-01T00:00","2018-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_4731","wikidata_202","0.015742808887521217",,"mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","ROCKETSROCKETSROCKETS","Roblox","ROCKETSROCKETSROCKETS","Roblox","0.0","0.0","Radial Games Corp;Loren Bednar;Dr. Kimberly Voll;Lindsay Jorgensen","Roblox Corporation","Radial Games Corp;Loren Bednar;Dr. Kimberly Voll;Lindsay Jorgensen","Roblox Corporation","0.19696969696969702","0.19696969696969702","2015-01-01T00:00","","2015-01-01T00:00","","0.0","0.0"
"WekaMatchingRule","steam_games_35508","wikidata_34580","0.01527236270613594",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Deplau","Deponia","Deplau","Deponia","0.0","0.0","Zirasoft","Daedalic Entertainment","Zirasoft","Daedalic Entertainment","0.18181818181818177","0.18181818181818177","2018-01-01T00:00","2012-01-01T00:00","2018-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_689","wikidata_260",,"0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Overgrowth","Deus Ex: Invisible War","Overgrowth","Deus Ex: Invisible War","0.0","0.0","Wolfire Games","Ion Storm","Wolfire Games","Ion Storm","0.15384615384615385","0.15384615384615385","2017-01-01T00:00","2007-01-01T00:00","2017-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_26464","wikidata_32475","0.016175803349254638",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Guppy","GunZ","Guppy","GunZ","0.0","0.0","ninjadodogames","MAIET Entertainment","ninjadodogames","MAIET Entertainment","0.21052631578947367","0.21052631578947367","2017-01-01T00:00","2009-01-01T00:00","2017-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_671","wikidata_3684","0.7874156330564238","1","linux","Linux","linux","Linux","1.0","1.0","Aquaria","Aquaria","Aquaria","Aquaria","1.0","1.0","Bit Blot, LLC",,"Bit Blot, LLC",,"0.0","0.0","2008-01-01T00:00","2007-01-01T00:00","2008-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_9910","wikidata_32475","0.016175803349254638",,"mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Gunpowder","GunZ","Gunpowder","GunZ","0.0","0.0","Rogue Rocket Games","MAIET Entertainment","Rogue Rocket Games","MAIET Entertainment","0.21052631578947367","0.21052631578947367","2015-01-01T00:00","2009-01-01T00:00","2015-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_30001","wikidata_30001",,"0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Love Story: The Beach Cottage","NGT: Next Generation Tennis 2003","Love Story: The Beach Cottage","NGT: Next Generation Tennis 2003","0.0","0.0","Media Art",,"Media Art",,"0.0","0.0","2018-01-01T00:00","2003-01-01T00:00","2018-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_25447","wikidata_2340",,"0","linux","arcade game machine","linux","arcade game machine","0.0","0.0","Guardian","Guardians","Guardian","Guardians","0.0","0.0","Exodus Software","Winkysoft","Exodus Software","Winkysoft","0.2666666666666667","0.2666666666666667","2017-01-01T00:00","1995-01-01T00:00","2017-01-01T00:00","1995-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_3391","wikidata_22699","0.01060130058076173",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Drifter","Driftmoon","Drifter","Driftmoon","0.0","0.0","Celsius Game Studios",,"Celsius Game Studios",,"0.0","0.0","2014-01-01T00:00","2013-01-01T00:00","2014-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_20688","wikidata_25820","0.012961438171022147",,"mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","NeverEnd","Necronomicon","NeverEnd","Necronomicon","0.0","0.0","Duck","MC2 France","Duck","MC2 France","0.09999999999999998","0.09999999999999998","2017-01-01T00:00","2001-01-01T00:00","2017-01-01T00:00","2001-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_22333","wikidata_2603","0.01060130058076173",,"windows","Linux","windows","Linux","1.0","1.0","Minit","Mijnenveger","Minit","Mijnenveger","0.0","0.0","JW, Kitty, Jukio, and Dom",,"JW, Kitty, Jukio, and Dom",,"0.0","0.0","2018-01-01T00:00","1989-01-01T00:00","2018-01-01T00:00","1989-01-01T00:00","0.0","0.0"
