"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] DeveloperComparator record1Value","[2] DeveloperComparator record2Value","[2] DeveloperComparator record1PreprocessedValue","[2] DeveloperComparator record2PreprocessedValue","[2] DeveloperComparator similarity","[2] DeveloperComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","steam_games_15217","wikidata_35795","0.3758169934640523",,"Deceit","Descent","Deceit","Descent","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","Automaton","Parallax Software","Automaton","Parallax Software","0.5032679738562091","0.5032679738562091","2017-01-01T00:00","1996-01-01T00:00","2017-01-01T00:00","1996-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_28995","wikidata_33057","0.33333333333333337",,"Gunlock","Gunslugs","Gunlock","Gunslugs","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Aleksandar Kuzmanovic Games",,"Aleksandar Kuzmanovic Games",,"0.0","0.0","2017-01-01T00:00","2015-01-01T00:00","2017-01-01T00:00","2015-01-01T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","steam_games_36589","wikidata_21555","0.25",,"Burndown","Bully","Burndown","Bully","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","BigBro Games","Rockstar Toronto","BigBro Games","Rockstar Toronto","0.0","0.0","2019-01-01T00:00","2006-01-01T00:00","2019-01-01T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_4380","wikidata_1077","0.25",,"Circuits","Cindingqiqak","Circuits","Cindingqiqak","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Digital Tentacle","Nexon","Digital Tentacle","Nexon","0.0","0.0","2014-01-01T00:00","2004-01-01T00:00","2014-01-01T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_14390","wikidata_28280","0.25",,"Caveblazers","Carrion","Caveblazers","Carrion","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Deadpan Games",,"Deadpan Games",,"0.0","0.0","2017-01-01T00:00","2020-01-01T00:00","2017-01-01T00:00","2020-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_30182","wikidata_5906","0.3855218855218855",,"STARBO","StarCraft","STARBO","StarCraft","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Diax Game","Blizzard Entertainment","Diax Game","Blizzard Entertainment","0.5420875420875421","0.5420875420875421","2018-01-01T00:00","1998-01-01T00:00","2018-01-01T00:00","1998-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_2033","wikidata_19710","1.0",,"The Incredible Adventures of Van Helsing","The Incredible Adventures of Van Helsing","The Incredible Adventures of Van Helsing","The Incredible Adventures of Van Helsing","1.0","1.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","NeocoreGames","NeocoreGames","NeocoreGames","NeocoreGames","1.0","1.0","2013-01-01T00:00","2013-01-01T00:00","2013-01-01T00:00","2013-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","steam_games_23338","wikidata_32140","0.42464646464646466",,"Blockle","Blackguards","Blockle","Blackguards","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","David Schneider","Daedalic Entertainment","David Schneider","Daedalic Entertainment","0.6985858585858586","0.6985858585858586","2017-01-01T00:00","2014-01-01T00:00","2017-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_30182","wikidata_5907","0.3855218855218855",,"STARBO","StarCraft","STARBO","StarCraft","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","Diax Game","Blizzard Entertainment","Diax Game","Blizzard Entertainment","0.5420875420875421","0.5420875420875421","2018-01-01T00:00","1998-01-01T00:00","2018-01-01T00:00","1998-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_5456","wikidata_3265","0.3952317290552585",,"Stained","starkraft","Stained","starkraft","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","RealAxis Software","Blizzard Entertainment","RealAxis Software","Blizzard Entertainment","0.5809269162210339","0.5809269162210339","2014-01-01T00:00","1998-01-01T00:00","2014-01-01T00:00","1998-01-01T00:00","0.0","0.0"
