"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","steam_games_30257","vg_sales_654","0.2",,"MotoGP™18","Monopoly","MotoGP™18","Monopoly","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Milestone S.r.l.","Hasbro Interactive","Milestone S.r.l.","Hasbro Interactive","0.0","0.0","2018-01-01T00:00","1994-01-01T00:00","2018-01-01T00:00","1994-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_13486","vg_sales_8747","0.2",,"Detached","Deponia","Detached","Deponia","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Anshar Studios","Daedalic","Anshar Studios","Daedalic","0.0","0.0","2017-01-01T00:00","2012-01-01T00:00","2017-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_13484","vg_sales_13538","0.2",,"Spacelords","Split/Second","Spacelords","Split/Second","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Mercury Steam Entertainment s.l.","Disney Interactive Studios","Mercury Steam Entertainment s.l.","Disney Interactive Studios","0.0","0.0","2017-01-01T00:00","2010-01-01T00:00","2017-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_28041","vg_sales_8034","0.2616666666666667",,"BOMBFEST","Borderlands","BOMBFEST","Borderlands","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Whitethorn Digital","Take-Two Interactive","Whitethorn Digital","Take-Two Interactive","0.6166666666666667","0.6166666666666667","2019-01-01T00:00","2009-01-01T00:00","2019-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_27605","vg_sales_15861","0.2",,"Colony","Contrast","Colony","Contrast","0.0","0.0","mac","PC","mac","PC","1.0","1.0","eugeniy_kh","Focus Home Interactive","eugeniy_kh","Focus Home Interactive","0.0","0.0","2017-01-01T00:00","2013-01-01T00:00","2017-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_4906","vg_sales_15966","0.2",,"Sentinel","Sengoku","Sentinel","Sengoku","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Matthew Brown","Paradox Interactive","Matthew Brown","Paradox Interactive","0.0","0.0","2014-01-01T00:00","2011-01-01T00:00","2014-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_33064","vg_sales_13666","0.26263636363636367",,"Grandpa","GRID","Grandpa","GRID","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Cheesecake","Codemasters","Cheesecake","Codemasters","0.6263636363636363","0.6263636363636363","2018-01-01T00:00","","2018-01-01T00:00","","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_28107","vg_sales_13538","0.24542124542124544",,"Speebot","Split/Second","Speebot","Split/Second","0.0","0.0","windows","PC","windows","PC","1.0","1.0","keyreal","Disney Interactive Studios","keyreal","Disney Interactive Studios","0.4542124542124542","0.4542124542124542","2017-01-01T00:00","2010-01-01T00:00","2017-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_22232","vg_sales_13135","0.2644444444444445",,"Silver","Singularity","Silver","Singularity","0.0","0.0","windows","PC","windows","PC","1.0","1.0","THQ Nordic","Mastertronic","THQ Nordic","Mastertronic","0.6444444444444445","0.6444444444444445","2017-01-01T00:00","2010-01-01T00:00","2017-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_18808","vg_sales_8599","0.2473015873015873",,"Crewsaders","The Crew","Crewsaders","The Crew","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Plug In Digital","Ubisoft","Plug In Digital","Ubisoft","0.47301587301587295","0.47301587301587295","2016-01-01T00:00","2014-01-01T00:00","2016-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_19768","vg_sales_16400","0.24997113997113998",,"Teria","The Technomancer","Teria","The Technomancer","0.0","0.0","windows","PC","windows","PC","1.0","1.0","ElZzap Software","Focus Home Interactive","ElZzap Software","Focus Home Interactive","0.4997113997113997","0.4997113997113997","2017-01-01T00:00","2016-01-01T00:00","2017-01-01T00:00","2016-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_4193","vg_sales_13538","0.26597150997151",,"Sportsfriends","Split/Second","Sportsfriends","Split/Second","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Die Gute Fabrik","Disney Interactive Studios","Die Gute Fabrik","Disney Interactive Studios","0.6597150997150998","0.6597150997150998","2014-01-01T00:00","2010-01-01T00:00","2014-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_14097","vg_sales_13538","0.25482905982905985",,"Spectrubes","Split/Second","Spectrubes","Split/Second","0.0","0.0","windows","PC","windows","PC","1.0","1.0","The Light Sword Team","Disney Interactive Studios","The Light Sword Team","Disney Interactive Studios","0.5482905982905982","0.5482905982905982","2016-01-01T00:00","2010-01-01T00:00","2016-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_35390","vg_sales_16510","0.2406593406593407",,"TREE","Trine","TREE","Trine","0.0","0.0","windows","PC","windows","PC","1.0","1.0","The Strangers","Nobilis","The Strangers","Nobilis","0.40659340659340665","0.40659340659340665","2018-01-01T00:00","2009-01-01T00:00","2018-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_11460","vg_sales_14974","0.2",,"The Deer","Demigod","The Deer","Demigod","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Chubby Pixel","Atari","Chubby Pixel","Atari","0.0","0.0","2016-01-01T00:00","2009-01-01T00:00","2016-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_22588","vg_sales_8747","0.25277777777777777",,"Devade","Deponia","Devade","Deponia","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Paleno Games","Daedalic","Paleno Games","Daedalic","0.5277777777777778","0.5277777777777778","2017-01-01T00:00","2012-01-01T00:00","2017-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_242","vg_sales_14090","0.5926666666666667",,"STAR WARS™ Jedi Knight II - Jedi Outcast™","Star Wars Jedi Knight: Jedi Academy","STAR WARS™ Jedi Knight II - Jedi Outcast™","Star Wars Jedi Knight: Jedi Academy","0.8","0.8","windows","PC","windows","PC","1.0","1.0","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive","Activision","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive","Activision","0.32666666666666666","0.32666666666666666","2009-01-01T00:00","2003-01-01T00:00","2009-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_15505","vg_sales_14647","0.24307783719548426",,"BomberZone","Botanicula","BomberZone","Botanicula","0.0","0.0","linux","PC","linux","PC","1.0","1.0","exosyphen studios","Daedalic Entertainment","exosyphen studios","Daedalic Entertainment","0.4307783719548426","0.4307783719548426","2016-01-01T00:00","2012-01-01T00:00","2016-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_7657","vg_sales_13288","0.2271717171717172",,"SickBrick","The Sims","SickBrick","The Sims","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Maxwolf;Fox","Electronic Arts","Maxwolf;Fox","Electronic Arts","0.27171717171717175","0.27171717171717175","2015-01-01T00:00","2000-01-01T00:00","2015-01-01T00:00","2000-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_15558","vg_sales_8617","0.2578524743230626",,"BUTCHER","Bulletstorm","BUTCHER","Bulletstorm","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Transhuman Design","Electronic Arts","Transhuman Design","Electronic Arts","0.5785247432306256","0.5785247432306256","2016-01-01T00:00","2011-01-01T00:00","2016-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_1647","vg_sales_2713","1.1","1","Assassin's Creed® Revelations","Assassin's Creed: Revelations","Assassin's Creed® Revelations","Assassin's Creed: Revelations","1.0","1.0","windows","PC","windows","PC","1.0","1.0","Ubisoft","Ubisoft","Ubisoft","Ubisoft","1.0","1.0","2011-01-01T00:00","2011-01-01T00:00","2011-01-01T00:00","2011-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","steam_games_15410","vg_sales_1718","0.2",,"Spellgear","Spore","Spellgear","Spore","0.0","0.0","windows","PC","windows","PC","1.0","1.0","SkyRiver Studios","Electronic Arts","SkyRiver Studios","Electronic Arts","0.0","0.0","2017-01-01T00:00","2008-01-01T00:00","2017-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_1813","vg_sales_8444","0.24074074074074076",,"Wizorb","Wildstar","Wizorb","Wildstar","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Tribute Games Inc.","NCSoft","Tribute Games Inc.","NCSoft","0.40740740740740744","0.40740740740740744","2012-01-01T00:00","2014-01-01T00:00","2012-01-01T00:00","2014-01-01T00:00","0.0","0.0"
