"wikidata_32090","vg_sales_308","0.96"
"wikidata_20674","vg_sales_2689","0.96"
"wikidata_21960","vg_sales_8068","0.96"
"wikidata_26900","vg_sales_4674","0.96"
"wikidata_5559","vg_sales_15252","0.96"
"wikidata_14360","vg_sales_188","0.96"
"wikidata_4593","vg_sales_10843","0.96"
"wikidata_24837","vg_sales_14974","0.96"
"wikidata_17171","vg_sales_1265","0.96"
"wikidata_6161","vg_sales_12405","0.96"
"wikidata_29439","vg_sales_2691","0.96"
"wikidata_25608","vg_sales_5419","0.96"
"wikidata_34597","vg_sales_8856","0.96"
"wikidata_18317","vg_sales_2581","0.96"
"wikidata_13540","vg_sales_8876","0.96"
"wikidata_15071","vg_sales_4334","0.96"
"wikidata_31817","vg_sales_2122","0.96"
"wikidata_5362","vg_sales_61","0.96"
"wikidata_22614","vg_sales_4907","0.96"
"wikidata_5234","vg_sales_5677","0.96"
"wikidata_22514","vg_sales_3703","0.96"
"wikidata_35394","vg_sales_5736","0.96"
"wikidata_33297","vg_sales_3486","0.96"
"wikidata_21938","vg_sales_4575","0.96"
"wikidata_22399","vg_sales_3512","0.96"
"wikidata_22518","vg_sales_2896","0.96"
"wikidata_33289","vg_sales_6380","0.96"
"wikidata_35571","vg_sales_6091","0.96"
"wikidata_24924","vg_sales_3364","0.96"
"wikidata_28152","vg_sales_6026","0.96"
"wikidata_17363","vg_sales_683","0.96"
"wikidata_20238","vg_sales_7200","0.96"
"wikidata_31379","vg_sales_11513","0.96"
"wikidata_33799","vg_sales_14414","0.96"
"wikidata_34354","vg_sales_11970","0.96"
"wikidata_14191","vg_sales_1012","0.96"
"wikidata_28007","vg_sales_5557","0.96"
"wikidata_30654","vg_sales_1193","0.96"
"wikidata_19376","vg_sales_1683","0.96"
"wikidata_27468","vg_sales_9172","0.96"
"wikidata_25606","vg_sales_15444","0.96"
"wikidata_5567","vg_sales_1639","0.96"
"wikidata_30083","vg_sales_766","0.96"
"wikidata_11870","vg_sales_15123","0.96"
"wikidata_30357","vg_sales_9464","0.96"
"wikidata_23395","vg_sales_7984","0.96"
"wikidata_30150","vg_sales_845","0.96"
"wikidata_20868","vg_sales_809","0.96"
"wikidata_34568","vg_sales_3537","0.96"
"wikidata_29399","vg_sales_538","0.96"
"wikidata_26312","vg_sales_4181","0.96"
"wikidata_13766","vg_sales_3036","0.96"
"wikidata_26662","vg_sales_4465","0.96"
"wikidata_35926","vg_sales_13834","0.96"
"wikidata_13596","vg_sales_51","0.96"
"wikidata_24689","vg_sales_5592","0.96"
"wikidata_25604","vg_sales_9591","0.96"
"wikidata_4055","vg_sales_2465","0.96"
"wikidata_17540","vg_sales_781","0.96"
"wikidata_17288","vg_sales_3200","0.96"
"wikidata_14341","vg_sales_161","0.96"
