"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Title","1.0","Title-{wikidata_26794|vg_sales_690}","{Cool Boarders 3|Cool Boarders 3}","Cool Boarders 3",,
"Title","1.0","Title-{vg_sales_7284|wikidata_35617}","{Samurai Jack: The Amulet of Time|Samurai Jack: The Amulet of Time}","Samurai Jack: The Amulet of Time",,
"Title","1.0","Title-{vg_sales_4012|wikidata_31996}","{Men in Black II: Alien Escape|Men in Black II: Alien Escape}","Men in Black II: Alien Escape",,
"Title","1.0","Title-{wikidata_33121|vg_sales_1764}","{Gauntlet: Dark Legacy|Gauntlet: Dark Legacy}","Gauntlet: Dark Legacy",,
"Title","1.0","Title-{vg_sales_10414|wikidata_28377}","{Champion Jockey: G1 Jockey & Gallop Racer|Champion Jockey: G1 Jockey & Gallop Racer}","Champion Jockey: G1 Jockey & Gallop Racer",,
"Title","1.0","Title-{steam_games_5427|wikidata_25822}","{Necronomicon: The Dawning of Darkness|Necronomicon: The Dawning of Darkness}","Necronomicon: The Dawning of Darkness",,
"Title","1.0","Title-{vg_sales_7329|wikidata_16969}","{Final Fantasy Fables: Chocobo's Dungeon|Final Fantasy Fables: Chocobo's Dungeon}","Final Fantasy Fables: Chocobo's Dungeon",,
"Title","1.0","Title-{vg_sales_3143|wikidata_15747}","{Max Payne 2: The Fall of Max Payne|Max Payne 2: The Fall of Max Payne}","Max Payne 2: The Fall of Max Payne",,
"Title","1.0","Title-{vg_sales_14960|wikidata_18176}","{Spy Hunter: Nowhere To Run|Spy Hunter: Nowhere to Run}","Spy Hunter: Nowhere To Run",,
"Title","1.0","Title-{wikidata_23066|vg_sales_7095}","{Super R-Type|Super R-Type}","Super R-Type",,
"Title","0.75","Title-{vg_sales_7642|wikidata_32940|wikidata_32942|wikidata_32941}","{Total War: Shogun 2 - Fall of the Samurai|Total War: Shogun 2 – Zmierzch Samurajów|Total War: Shogun 2 – Zmierzch Samurajów|Total War: Shogun 2 – Zmierzch Samurajów}","Total War: Shogun 2 – Zmierzch Samurajów",,
"Title","1.0","Title-{wikidata_17937|vg_sales_12490}","{Pro Evolution Soccer 2012|Pro Evolution Soccer 2012}","Pro Evolution Soccer 2012",,
"Title","1.0","Title-{vg_sales_13484|wikidata_34333|wikidata_10478}","{Tom Clancy's HAWX|Tom Clancy's HAWX|Tom Clancy’s HAWX}","Tom Clancy's HAWX",,
"Title","1.0","Title-{wikidata_25201|vg_sales_8936}","{Batman Begins|Batman Begins}","Batman Begins",,
"Title","1.0","Title-{wikidata_28201|steam_games_2456}","{Shadow Warrior|Shadow Warrior}","Shadow Warrior",,
"Title","1.0","Title-{wikidata_24677|vg_sales_6824}","{Harry Potter and the Goblet of Fire|Harry Potter and the Goblet of Fire}","Harry Potter and the Goblet of Fire",,
"Title","1.0","Title-{vg_sales_1576|wikidata_28483}","{Need for Speed Carbon|Need for Speed: Carbon}","Need for Speed Carbon",,
"Title","1.0","Title-{steam_games_20846|wikidata_31310|wikidata_31306}","{LEGO® City Undercover|LEGO City Undercover|Lego City Undercover}","LEGO City Undercover",,
"Title","1.0","Title-{wikidata_17158|vg_sales_1018}","{The Beatles: Rock Band|The Beatles: Rock Band}","The Beatles: Rock Band",,
"Title","1.0","Title-{vg_sales_1506|wikidata_31511}","{Madagascar|Madagascar}","Madagascar",,
"Title","1.0","Title-{vg_sales_2617|wikidata_29794|wikidata_29791}","{Dead Island: Riptide|Dead Island Riptide|Dead Island: Riptide}","Dead Island Riptide",,
"Title","1.0","Title-{vg_sales_3043|wikidata_29596|wikidata_9773}","{WWE SmackDown vs. RAW 2007|WWE SmackDown vs. Raw 2007|WWE Smackdown vs RAW 2007}","WWE Smackdown vs RAW 2007",,
"Title","1.0","Title-{steam_games_5528|wikidata_25032}","{Rooms: The Main Building|Rooms: The Main Building}","Rooms: The Main Building",,
"Title","1.0","Title-{wikidata_2284|vg_sales_8037}","{Ghostbusters: The Video Game|Ghostbusters: The Video Game}","Ghostbusters: The Video Game",,
"Title","1.0","Title-{vg_sales_663|wikidata_16948}","{Madden NFL 11|Madden NFL 11}","Madden NFL 11",,
"Title","1.0","Title-{vg_sales_10703|wikidata_27747}","{Ride|Ride}","Ride",,
"Title","1.0","Title-{wikidata_10694|steam_games_6845}","{4089: Ghost Within|4089: Ghost Within}","4089: Ghost Within",,
"Title","1.0","Title-{vg_sales_9820|wikidata_11073}","{Densha De Go! 64|Densha de Go! 64}","Densha De Go! 64",,
"Title","1.0","Title-{wikidata_29627|vg_sales_10981}","{Space Invaders Extreme|Space Invaders Extreme}","Space Invaders Extreme",,
"Title","0.75","Title-{wikidata_26877|wikidata_26876|vg_sales_7218|wikidata_26878}","{The Lord of the Rings: The Third Age (Game Boy Advance)|The Lord of the Rings: The Third Age|The Lord of the Rings: The Third Age|Lord of the Rings: The Third Age}","Lord of the Rings: The Third Age",,
"Title","1.0","Title-{wikidata_8601|wikidata_29366|vg_sales_2100}","{WWE SmackDown vs. Raw 2008|WWE SmackDown! vs. RAW 2008|WWE SmackDown vs Raw 2008}","WWE SmackDown vs Raw 2008",,
"Title","1.0","Title-{vg_sales_7344|wikidata_31397}","{UFC Undisputed 2010|UFC Undisputed 2010}","UFC Undisputed 2010",,
"Title","0.0","Title-{wikidata_33254|vg_sales_14945}","{beatmania IIDX 11 IIDXRED|BeatMania IIDX 11: IIDX Red}","beatmania IIDX 11 IIDXRED",,
"Title","1.0","Title-{wikidata_29699|steam_games_10350}","{Final Fantasy V|FINAL FANTASY V}","Final Fantasy V",,
"Title","1.0","Title-{steam_games_12860|wikidata_19998}","{Adventure Lamp|Adventure Lamp}","Adventure Lamp",,
"Title","1.0","Title-{steam_games_2421|wikidata_35976}","{MirrorMoon EP|MirrorMoon EP}","MirrorMoon EP",,
"Title","1.0","Title-{steam_games_1023|vg_sales_13369|wikidata_34029}","{Mafia|Mafia|Mafia}","Mafia",,
